Name,Category,Well_Known_Movie,Bio
Anupam Kher,Actor,Silver Linings Playbook,"Anupam Kher was born on March 7, 1955 in Shimla, Himachal Pradesh, India"
Ajay Devgn,Actor,Shivaay,"Ajay Devgn is an Indian film actor, director, and producer"
Sayani Gupta,Actress,Article 15,"Sayani Gupta, (pronounced as Shayoni) born and brought up in Kolkata, is a diverse individual who fine tuned skills in the segment of performing arts"
Vikram,Actor,Anniyan,"Vikram is an Indian film actor, voice actor and a playback singer"
Dulquer Salmaan,Actor,Charlie,Dulquer Salmaan was born on 28 July 1986 as the younger son of actor Mammootty and Sulfath
Ayushmann Khurrana,Actor,Andhadhun,"Ayushmann Khurrana was born on 14 September 1984 in Chandigarh, India"
Nawazuddin Siddiqui,Actor,Bajrangi Bhaijaan,"Nawazuddin Siddiqui (born 1974) also known as Nowaz is an Indian film actor who has appeared in some of Bollywood's major films including, Black Friday (2004), New York (2009), Peepli Live (2010), Kahani (2012), Gangs of Wasseypur (2012) and Gangs of Wasseypur - Part 2 (2012)"
Tabu,Actress,Haider,Tabu is an Indian actress
Merle Oberon,Actress,Wuthering Heights,"Estelle Merle Thompson was born in India on February 19, 1911 of Welsh and Ceylonese (now Sri Lankan) descent"
Shruti Haasan,Actress,7 Aum Arivu,Shruti Kamal Haasan is an India Film actress and singer and the daughter of legendary actor Kamal Haasan and Sarika
Kirti Kulhari,Actress,Pink,"Kirti Kulhari was born on May 30, 1985 in Jhunjhunu, Rajasthan, India"
Gabrielle Drake,Actress,UFO... annientare S.H.A.D.O. stop. Uccidete Straker...,"Gabrielle Drake was born March 30, 1944 in Lahore, Pakistan"
Shraddha Kapoor,Actress,Aashiqui 2,Shraddha Kapoor is an Indian film actress
Preity Zinta,Actress,Veer-Zaara,"Preity Zinta shot to fame as the refreshing, cool, wet model in the Liril commercial"
Anurag Kashyap,Producer,Gangs of Wasseypur,"Anurag Singh Kashyap (born 10 September 1972) is an Indian film director, producer and screenwriter"
Meta Golding,Actress,Surrogates,"Meta Golding is of Haitian descent but was raised in the United States, India, France and Italy as well as Haiti itself"
Anil Kapoor,Actor,Slumdog Millionaire,"Living in a Chawl in Tilak Nagar, Punjabi-speaking Anil was born in 1959 to Surinder and Nirmal aka Suchitra Kapoor"
Ileana D'Cruz,Actress,Barfi!,"She made her debut in the Telugu film Devadasu, which became the year's first major commercial success"
Tiger Shroff,Actor,Heropanti,"Tiger Shroff was born on March 2, 1990 in Mumbai, India as Jai Hemant Shroff"
Mahesh Babu,Actor,1 - Nenokkadine,"Ghattamaneni Mahesh Babu was born in Chennai, Tamil Nadu, to prominent Telugu Cinema Actor Krishna Ghattamaneni and Smt"
John Abraham,Actor,Dhoom,"Born and brought up in Mumbai, India, John Abraham is one of the most successful male models in India"
Ranbir Kapoor,Actor,Rockstar,"Son of Rishi Kapoor and Neetu Singh; nephew of actors Randhir Kapoor, Rajiv Kapoor, Kunal Kapoor"
Sanjay Dutt,Actor,Munna Bhai M.B.B.S.,"Sanjay Dutt, son of Nargis and Sunil Dutt, was first featured in Rocky (1981), the movie was a box office hit"
Naseeruddin Shah,Actor,The League of Extraordinary Gentlemen,"Naseeruddin Shah was born on July 20, 1950 in Barabanki, Uttar Pradesh, India"
Roshan Seth,Actor,Gandhi,"A native of New Delhi, India, British character actor of theater and film Roshan Seth honed the skills he learned at London's Academy of Music and Dramatic Arts in British repertory theater"
Prabhas,Actor,Bãhubali: The Beginning,Prabhas was born to late U
Suriya,Actor,24,"Suriya was born to actor Sivakumar and his wife Lakshmi in Chennai, but brought up in Coimbatore"
Ajith Kumar,Actor,Villain,Ajith Kumar is an Indian film actor who has worked mainly in Tamil cinema
Randeep Hooda,Actor,Sarbjit,Randeep Hooda was born in a small village called Daseya in the Rohtak district of Haryana
Ranveer Singh,Actor,Gully Boy,Ranveer Singh is an Indian actor working in Bollywood
Rajinikanth,Actor,Enthiran,Rajinikanth has been a megastar in the Tamil movie industry since the 70s
Nina Wadia,Actress,Bend It Like Beckham,"Nina Wadia was born on December 18, 1968 in Bombay, Maharashtra, India"
Shriya Saran,Actress,Drishyam,"Shriya Saran also known by the mononym Shriya, is an Indian film actress, model and presenter"
Fatima Sana Shaikh,Actress,Dangal,"Fatima Sana Shaikh was born in Mumbai, India, to Hindu Brahman Father, Vipen Sharma, and Muslim Mother, Raj Tabassum"
Shahid Kapoor,Actor,Haider,Shahid's rise to stardom reads like a bollywood script: from a struggler to a winner
Kangana Ranaut,Actress,Queen,"Kangana was born on 20 March 1987 in Bhambla, near Manali, which is in the Mandi district of Himachal Pradesh"
Mammootty,Actor,Mathilukal,Malayalam film actor Mammootty was born to Ismail (an agriculturist) and Fatima (a homemaker)
Nayanthara,Actress,Iru Mugan,"Nayantara was born as Diana Mariam Kurien in a Malayali Nasrani (Syrian Christian) family to an Indian Army Officer father, Kurien Kodiyattu, and Omana Kurien, in Bangalore, Karnataka"
Rashmika Mandanna,Actress,Geetha Govindam,"Rashmika Mandanna was born on April 5, 1996 in Virajpete, Kodagu (Coorg), Karnataka, India"
Taapsee Pannu,Actress,Pink,"Taapsee Pannu was born on August 1, 1987 in Delhi, India"
Bhumi Pednekar,Actress,Dum Laga Ke Haisha,"Bhumi Pednekar was born on July 18, 1989 in Bombay, Maharashtra, India"
Ram Charan,Actor,Magadheera,"Ram Charan was born on March 27, 1985 in Madras, Tamil Nadu, India as Ram Charan Tej Konidela"
Tarsem Singh,Director,The Fall,Indian director Tarsem Singh is the son of an aircraft engineer
Sridevi,Actress,English Vinglish,"Sridevi was born on August 13, 1963 in her father's hometown of Sivakasi, Tamil Nadu, India"
Aditi Rao Hydari,Actress,Padmaavat,"Aditi Rao Hydari was born in 1986 in Hyderabad, from two royal lineages, that of Sir Akbar Hydari and J"
Sidharth Malhotra,Actor,Hasee Toh Phasee,"Sidharth Malhotra was born on January 16, 1985 in Delhi, India"
Abhishek Bachchan,Actor,Happy New Year,"Aquarian Abhishek Srivastav was born in February 5, 1976, son of Bollywood mega-stars, Jaya Bhaduri and Amitabh Bachchan, brother to Shweta, uncle to her two children (Navya Naveli & Agastye), and the grandson of Harivansh Rai Srivastav, Hindu and Urdu poet, who wrote under the pen-name of "
Isla Blair,Actress,Indiana Jones and the Last Crusade,"Isla Blair was born on September 29, 1944 in Bangalore, India"
Raghuvir Yadav,Actor,Dil Se..,"Raghuvir Yadav was born on June 25, 1957 in Jabalpur, Madhya Pradesh, India"
Satyajit Ray,Writer,Pather Panchali,"Satyajit Ray was born in Calcutta on May 2, 1921"
Priyamani,Actress,Paruthiveeran,"Priyamani was born on June 4, 1984 in Bangalore, Karnataka, India as Priya Mani Vasudev Iyer"
Mohanlal,Actor,Dasharatham,"Mohanlal was born to Viswanathan Nair (father) and Santhakumari (mother) in Pathanamthitta district of Kerala, in the southern part of India on 21st May 1960"
Kamal Haasan,Actor,Vishwaroopam,"Kamal Haasan was born November 7, 1954 in Paramakudi, Tamil Nadu"
Huma Qureshi,Actress,Gangs of Wasseypur,Huma Qureshi born and raised in Delhi
Jyoti Amge,Actress,American Horror Story,"Jyoti Amge was born on December 16, 1993 in Nagpur, India as Jyoti Kisange Amge"
Varun Dhawan,Actor,Badlapur,"Varun Dhawan was born on April 24, 1987 in Mumbai, Maharashtra, India"
Dhanush,Actor,Raanjhanaa,"Venkatesh Prabhu known by his stage name Dhanush, is an Indian film actor, producer, lyricist and playback singer who has worked predominantly in Tamil cinema"
Manoj Bajpayee,Actor,Gangs of Wasseypur,"Manoj Bajpayee was born on April 23, 1969 in Belwa, Bihar, India"
Adah Sharma,Actress,1920,"Adah Sharma (May 11, 1992) is a Bollywood actress"
Prithviraj Sukumaran,Actor,Ennu Ninte Moideen,"Prithviraj Sukumaran (born 16 October 1982), credited mononymously as Prithviraj, is an Indian actor, playback singer and producer best known for his work in Malayalam films"
Madhavan,Actor,Vikram Vedha,"Madhavan was born on June 1, 1970, in a Tamil-speaking family"
N.T. Rama Rao Jr.,Actor,Nannaku Prematho,N
Zaira Wasim,Actress,Dangal,"Zaira Wasim was born on October 23, 2000 in Srinagar, Jammu and Kashmir, India"
Mani Ratnam,Writer,Dil Se..,"The man who revolutionized Tamil-language cinema, Mani Ratnam is the biggest director in south India and one of the most respected directors in all of India"
Urvashi Rautela,Actress,Great Grand Masti,"Urvashi Rautela was born and raised in Haridwar, a small town in the Indian state of Uttarakhand"
Madhuri Dixit,Actress,Devdas,Madhuri Dixit is one of the most acclaimed actors and Kathak dancers Bollywood have ever witnessed
Tamannaah Bhatia,Actress,Bãhubali: The Beginning,"Tamanna Bhatia is an Indian film actress born in Mumbai, India"
Karan Johar,Writer,Kabhi Khushi Kabhie Gham...,"A close friend of Shahrukh Khan, he assisted Yash Chopra's Yash Raj Films during the early days of of his career, making his directorial debut with the mega-hit Kuch Kuch Hota Hai (1998)"
Dharmendra,Actor,Sholay,Dharmendra is one of the biggest stars of Indian cinema
Emraan Hashmi,Actor,Once Upon a Time in Mumbaai,Emraan Hashmi was born 24 March 1979) is an Indian film actor who appears in Hindi languagefilms
Kay Kay Menon,Actor,Haider,"Kay Kay Menon was born on October 2, 1966 in Kerala, India as Krishna Kumar Menon"
Anjali Jay,Actress,Night at the Museum: Secret of the Tomb,Anjali Jay is an actor and writer
Ramanand Sagar,Director,Ankhen,Dr
Vidya Balan,Actress,Kahaani,"Vidya was born in Palghat, Kerala, India"
Farhan Akhtar,Producer,Zindagi Na Milegi Dobara,"An accomplished and award-winning producer-director-writer-actor-singer, Farhan Akhtar is the ultimate Bollywood multi-hyphenate"
Kabir Bedi,Actor,Octopussy,"Kabir Bedi is one of India's most famous international actors, with a career that spans from Bollywood to Hollywood and Europe, in films, television, theatre, and radio"
Tania,Actress,Qismat,"Tania (born 06 May 1993 Jamshedpur, Jharkhand ) is an Indian actor"
Bipasha Basu,Actress,Race,Fate intervened when Bipasha recoiled and passed out when dissecting a rat
Om Puri,Actor,The Hundred-Foot Journey,Om Puri was an Indian actor who has appeared in both mainstream Indian films and art films
Govinda,Actor,Partner,"Govinda was born on December 21, 1963"
Arun Govil,Actor,Ramayana: The Legend of Prince Rama,"Arun Govil was born on January 12, 1958 in Meerut, Uttar Pradesh, India"
Sonam Kapoor,Actress,Neerja,Sonam Kapoor comes from an established film family
Neha Sharma,Actress,Solo,"Neha Sharma was born on November 21, 1987 in Bhagalpur, Bihar, India"
Sugith Varughese,Actor,Kim's Convenience,"Born in India and raised in Canada, he is an award-winning screenwriter, short film director and actor with several series regular and recurring character credits"
Vidyut Jammwal,Actor,Force,"Given his elaborate expertise in the martial arts especially the ancient form called Kalaripayattu (which he's trained in since he was all of 4 years old), Vidyut has committed himself to creating a platform for action and stunts in world cinema"
Karisma Kapoor,Actress,Dil To Pagal Hai,"Born into Bombay filmdom's legendary Kapoor clan, Karisma Kapoor made her film debut with Prem Qaidi (1991) opposite Harish"
Mallika Sherawat,Actress,Murder,"Mallika Sherawat was born on October 24, 1976 in Rohtak, Haryana, India as Reema Lambha"
Rajesh Khanna,Actor,Anand,"Rajesh Khanna, the first superstar of Indian and Hindi Cinema with 74 Golden Jubilee Hits - (which includes 48 Platinum Jubilee hits and 26 Golden Jubilee Hits) & in addition had 22 Silver Jubilee Hits and 9 average hits, was born on 29 December 1942 in Amritsar, Punjab, India"
Sunny Deol,Actor,Ghayal,Ajay Singh Deol popularly known as Sunny Deol was born to actor Dharmendra and Prakash Kaur
Arshad Warsi,Actor,Munna Bhai M.B.B.S.,"Arshad Warsi was born in Mumbai, India, and did his schooling at a boarding school, Barnes School, Deolali in Nashik district, Maharashtra"
Kalki Koechlin,Actress,Yeh Jawaani Hai Deewani,Kalki Koechlin was born to French parents in a small village in Pondicherry
Asin Thottumkal,Actress,Ghajini,"Asin was born in Cochin, Kerala, India in the Malayalam-speaking Thottumkal family which consists of her businessman dad, Joseph, and mom, Dr"
Suleka Mathew,Actress,Claws,"Suleka Mathew was born in India and raised in Vancouver, and has worked extensively as a professional actress in film, television, radio and theatre her whole life"
Chitrangda Singh,Actress,Yeh Saali Zindagi,"""You have outdone Smita Patil,"" said Shekhar Kapur, when he saw Chitrangda Singh's performance in her debut movie Hazaaron Khwaishein Aisi (2003)"
Mithun Chakraborty,Actor,OMG: Oh My God!,"Mithun Chakraborty was born on June 16, 1947 in Barisal, Bengal Presidency, British India as Gouranga Chakraborti"
Sana Khaan,Actress,Gaganam,"Sana Khan was born on August 21st 1987 in a Muslim, Pashtun background in the city of Mumbai, India"
Ayesha Dharker,Actress,Star Wars: Episode II - Attack of the Clones,"Ayesha Dharker was born in 1977 in Bombay, India"
Rajkumar Hirani,Writer,Munna Bhai M.B.B.S.,"Rajkumar Hirani was born on November 20, 1962 in Nagpur, Maharashtra, India"
Angie Cepeda,Actress,A Night in Old Mexico,"Angélica María Cepeda Jiménez was born in Cartagena de Indias, Colombia on August 2nd 1974"
Yami Gautam,Actress,Kaabil,She received IIFA - Star Debut of the Year Award and Zee Cine - Best Female Debut Award for Vicky Donor
Esha Gupta,Actress,Jannat 2,"Esha Gupta was born on November 28, 1985 in New Delhi, India"
Googie Withers,Actress,One of Our Aircraft Is Missing,Googie Withers began her acting career at the age of 12
Margaret Lockwood,Actress,The Lady Vanishes,"Karachi-born Margaret Lockwood, daughter of a British colonial railway clerk, was educated in London and studied to be an actress at the Italia Conti Drama School"
Karthi,Actor,Theeran adhigaaram ondru,"Karthi was born on May 25, 1977 in Madras, Tamil Nadu, India as Karthik Sivakumar"
Torin Thatcher,Actor,Witness for the Prosecution,"Associated with gritty, flashy film villainy, veteran character actor Torin Thatcher was born in Bombay, India to British parents on January 15, 1905, and was educated in England at the Bedford School and the Royal Academy of Dramatic Art"
Sunil Shetty,Actor,Main Hoon Na,"Sunil Shetty made his debut in 1992 with Balwaan (1992), which was not a major hit"
Priya Rai,Actress,Cheerleaders,"Tiny (5'3""), but lovely, busty, and shapely brunette knockout Priya Rai was born on December 25, 1977 in New Delhi, India"
Prateik,Actor,Jaane Tu... Ya Jaane Na,"Prateik was born on November 28, 1986 in Bombay, Maharashtra, India"
Trisha Krishnan,Actress,96,"Trisha Krishnan was born on the 4th of May 1983 in Pallakad, Kerala, India"
Samantha Ruth Prabhu,Actress,Ye Maaya Chesave,Samantha Prabhu is an Indian film actress and model who appears in Telugu and Tamil films
Zeenat Aman,Actress,Don,"Zeenat Aman was born to a Hindu mother and a Muslim father Amanullah who was one of the writers for the classic ""Mughal-e-Azam"", on November 19th, 1951"
Ahsaas Channa,Actress,Kabhi Alvida Naa Kehna,Ahsaas Channa was born circa 1999
Arvind Trivedi,Actor,Shankar Parvati,"Arvind Trivedi was born on November 8, 1938 in British India"
A.R. Rahman,Composer,Slumdog Millionaire,"A two-time winner and five-times nominee of the Academy Award (Oscar), A"
Juliet Prowse,Actress,G.I. Blues,"Born in India to South African parents, Juliet studied to be a dancer from the age of 4"
Ram Gopal Varma,Director,Rangeela,"Ram Gopal Varma was born in Hyderabad, the capital city of the Indian state of Andhra Pradesh"
Amyra Dastur,Actress,Anegan,Amyra Dastur is an Indian Parsi film actress
Sushant Singh Rajput,Actor,Kai po che!,Sushant Singh Rajput is an Indian television and film actor
Gautami Kapoor,Actress,Fanaa,"Gautami Kapoor was born on June 21, 1974 in Maharashtra, India"
Ramya Krishnan,Actress,Bãhubali: The Beginning,"Ramya Krishnan was born on September 15, 1970 in Madras, Tamil Nadu, India"
Mira Nair,Director,Monsoon Wedding,Accomplished Film Director/Writer/Producer Mira Nair was born in India and educated at Delhi University and at Harvard
Vijay Arora,Actor,Jeevan Jyoti,"Vijay Arora was born on December 27, 1944 in Cutch State, British India"
Jackie Shroff,Actor,Devdas,"Jaikishen was born in the Gujarati-speaking Shroff family on February 1, 1957"
Milton Reid,Actor,The Spy Who Loved Me,"Although he liked to sign his autographs, perhaps jokingly, ""Milton Gaylord Reid"" his real name was Milton Rutherford Reid and he was born in Bombay on 29 April 1917"
Neena Gupta,Actress,Badhaai ho,"Neena Gupta was born on July 4, 1959 in India"
Shelley Malil,Actor,The 40 Year Old Virgin,"Shelley Malil is proud to be from the Indian state of Kerala and a Malayalee, a people known for their comedic take on life"
Janine Gray,Actress,The Avengers,"Janine Gray was born on January 14, 1942 in Bombay, Bombay Presidency, British India as Janine Catherine Glass"
Nivin Pauly,Actor,Premam,Nivin Pauly is considered as Superstar of Malayalam movies since the year 2015
Pamela Salem,Actress,Never Say Never Again,"Pamela Salem was born on January 22, 1950 in Bombay, State of Bombay, India"
Vishal,Actor,Irumbu Thirai,"Vishal was born on August 29, 1977 in Madras, Tamil Nadu, India as Vishal Krishna Reddy"
Nagarjuna Akkineni,Actor,Rajanna,Nagarjuna did his schooling at Hyderabad Public School and later went to Little Flower Junior College to do his intermediate
Lara Dutta,Actress,Don 2,It is not a secret that Lara Dutta is a beauty with brains
Ravi Teja,Actor,Neninthe,"Ravi Teja was born on January 26, 1968 in Jaggampeta, Andhra Pradesh, India as Bhupatiraju Ravi Shankar Raju"
Shekhar Kapur,Director,Elizabeth,"Shekhar Kapur was born on December 6, 1945 in Lahore, Punjab, British India"
Rishi Kapoor,Actor,Agneepath,"Born in south Mumbai, Kapoor is the second son of film director and actor Raj Kapoor"
Pawan Kalyan,Actor,Atharintiki Daaredi,Pawan Kalyan's actual name is Konidela Kalyan Babu
Jaya Bachchan,Actress,Kal ho naa ho,"In April 1948 Jabalpur-based, Bengali-speaking Indira and Tarun Kumar Bhaduri were blessed with a child they named Jaya, and enrolled in the St"
Jimmy Sheirgill,Actor,A Wednesday,"Shergill was born in a Sikh family in Gorakhpur, Uttar Pradesh"
Flora Saini,Actress,Inside Edge,She was born in Chandigarh to an army officer
Sai Pallavi,Actress,Premam,"Sai Pallavi was born on May 9, 1992 in Tamil Nadu, India"
Shweta Tripathi,Actress,Masaan,"Shweta Tripathi was born on July 6, 1985 in New Delhi, India"
Anubhav Sinha,Director,Article 15,"Anubhav Sinha was born on June 22, 1965 in Allahabad, Uttar Pradesh, India"
Mahie Gill,Actress,Dev.D,"Mahie Gill was born in Chandigarh, Punjab"
Aryan Khan,Actor,Kabhi Khushi Kabhie Gham...,"Aryan Khan was born on November 13, 1997 in India"
Sushmita Sen,Actress,Main Hoon Na,"Sushmita was born in the Bengali-speaking Sen family on November 19, 1975 in Hyderabad, Andhra Pradesh, India"
Imtiaz Ali,Writer,Jab We Met,"Imtiaz Ali is an Indian film director, actor and writer"
Shilpa Shetty Kundra,Actress,Life in a Metro,"Among very few actresses, Shilpa Shetty was nominated for her first film Baazigar (1993)"
Michael Bates,Actor,A Clockwork Orange,"Michael Bates was born on December 4, 1920 in Jhansi, United Provinces of Agra and Oudh, British India as Michael Hammond Bates"
Dilip Kumar,Actor,Gunga Jumna,Dilip Kumar is considered to be one of the greatest actors of Indian cinema
Shashi Kapoor,Actor,Deewaar,Shashi Kapoor is one of the leading actors of Indian cinema having appeared in 160 movies - 12 in English and 148 in Hindi
Hema Malini,Actress,Sholay,"Hema was born in the Tamil-speaking Chakravarthy household on October 16, 1948 in Ammankudi, Tamil Nadu"
Akshaye Khanna,Actor,Dil Chahta Hai,Akshaye Khanna was born in Mumbai in 1975
Arjun Rampal,Actor,Om Shanti Om,"From Jabalpur, Arjun Rampal went to Delhi to complete his education"
Kajal Aggarwal,Actress,Thuppakki,Kajal made her acting debut in the 2004 Hindi film Kyun
Amrita Rao,Actress,Main Hoon Na,"Amrita was born in the Rao family on June 7, 1986 in Mumbai, She speaks Konkani"
Reema Sen,Actress,Gangs of Wasseypur,"Born in Kolkatta, India"
Rekha,Actress,Koi... Mil Gaya,"Bhanurekha was born in the Tamil-speaking Ganesan household on October 10, 1954"
Mandira Bedi,Actress,24,"Mandira was born in a Punjabi-speaking Bombay-based Bedi family on April 15, 1972"
Juhi Chawla,Actress,Darr,"Juhi was born in the Chawla family on November 13, 1967 in Ludhiana, Punjab, India, and is the daughter of Punjabi-speaking dad, Dr"
Anushka Shetty,Actress,Bãhubali 2: The Conclusion,Anushka Shetty is an Indian Film Actress
Shabana Azmi,Actress,Arth,"One of the leading lights of the now-largely-defunct Indian New Wave, Shabana Azmi (alongside the late Smita Patil) was one of the main female actors who dominated the films of the so-called ""Parallel Cinema"" in India in the 1970s and 1980s"
Aditya Roy Kapoor,Actor,Aashiqui 2,"Aditya Roy Kapoor was born on November 16, 1985 in Bombay, Maharashtra, India"
Dara Singh,Actor,Kal ho naa ho,"Dara Singh Randhawa (Born Deedar Singh Randhawa, Nov 19, 1928- 12 July 2012 ) was an Indian Wrestler, Film and Television Actor, Director, Producer and Member of Parliament"
Raveena Tandon,Actress,Aks,Daughter of Bombay film industry (Bollywood) director Ravi Tandon
Naga Chaitanya Akkineni,Actor,100% Love,"Naga Chaitanya Akkineni was born on November 23, 1986 in Madras, India"
Genelia D'Souza,Actress,Jaane Tu... Ya Jaane Na,"Genelia D'Souza is an Indian actress, model, and host"
Neha Dhupia,Actress,Tumhari Sulu,"Neha was born in the Punjabi-speaking Dhupia family in Cochin, India, on August 27, 1980, and as is customary with most Punjabi and Sikh families - she was nicknamed 'Chotu'"
Rohit Shetty,Director,Chennai Express,"Rohit Shetty was born on March 14, 1974 in Bombay, Maharashtra, India"
I.S. Johar,Actor,Death on the Nile,I
Shweta Basu Prasad,Actress,Makdee,"Shweta Basu Prasad is an Indian film actress born on 11nd January 1994 in the city of Jamshedpur, Jharkhand"
Sonali Bendre,Actress,Kal ho naa ho,"Sonali Bendre started out as a model before being selected for the ""Stardust Talent Search"""
Sanjay Leela Bhansali,Producer,Bajirao Mastani,Sanjay Leela Bhansali is among the most celebrated Film Makers of the Bollywood
Sabu,Actor,The Thief of Bagdad,"Sabu Dastagir (or Selar Shaik Sabu, depending on your resource) was born on January 27, 1924, in the little town of Mysore, India, which is nestled in the jungles of Karapur"
Lindsay Anderson,Director,If....,"Lindsay Anderson was born on April 17, 1923 in Bangalore, Kingdom of Mysore, British India as Lindsay Gordon Anderson"
Urmila Matondkar,Actress,Bhoot,"The daughter of a lecturer, actress Urmila Matondkar began her celluloid career as a child artiste with the film _Kalyug (1980)_"
Paresh Rawal,Actor,Hera Pheri,"Paresh Rawal was born on May 30, 1950 in Bombay, State of Bombay, India"
Zoya Akhtar,Writer,Gully Boy,Zoya Akhtar hails from one of the most talented film families in the country
Boman Irani,Actor,3 Idiots,"Boman Irani was born on December 2, 1959 in Bombay, State of Bombay, India"
Ameesha Patel,Actress,Kaho Naa... Pyaar Hai,"Grand-daughter of Indian freedom fighter, lawyer and former Justice Rajni Patel, Amisha, a Gemini, was born in Bombay's Breach Candy Hospital"
Chiranjeevi,Actor,Shankar Dada MBBS,This Telugu Star was a student at the Madras Film Institute and an amateur stage actor
Sonakshi Sinha,Actress,Dabangg,She is the daughter of legendary Indian actor Shatrughan Sinha and Poonam Sinha and sister to Luv Sinha and Kussh Sinha
Diana Penty,Actress,Cocktail,"Diana Penty was born in Bombay on November 2nd, 1985 to a Christian mother and a Parsi father"
Sudeep,Actor,Eega,"Sudeep is an Indian film actor, director, producer, screenwriter, playback singer, anchor, and cricketer who works primarily in Kannada cinema"
